nhood,well-resourced,priority-equity,CBD,sfmta-equity,iin,commercial-corridor
Bayview Hunters Point,None,Applied,None,Applied,Applied,Applied
Bernal Heights,None,Applied,None,Applied,Applied,Applied
Castro/Upper Market,Applied,Applied,Applied,Applied,Applied,Applied
Chinatown,Applied,Applied,Applied,Applied,Applied,Applied
Excelsior,None,Applied,None,Applied,Applied,Applied
Financial District,Applied,Applied,Applied,Applied,Applied,Applied
Glen Park,Applied,None,None,None,None,Applied
Golden Gate Park,Applied,None,None,None,None,None
Haight Ashbury,Applied,None,None,None,None,Applied
Hayes Valley,Applied,Applied,Applied,Applied,Applied,Applied
Inner Richmond,Applied,None,None,None,None,Applied
Inner Sunset,Applied,None,None,None,None,Applied
Japantown,Applied,Applied,Applied,Applied,Applied,Applied
Lakeshore,Applied,Applied,None,None,None,None
Lincoln Park,Applied,Applied,None,None,None,None
Lone Mountain/USF,Applied,Applied,None,Applied,None,Applied
Marina,Applied,None,None,None,Applied,Applied
McLaren Park,None,Applied,None,Applied,None,None
Mission,Applied,Applied,Applied,Applied,Applied,Applied
Mission Bay,None,Applied,Applied,None,None,Applied
Nob Hill,Applied,Applied,Applied,Applied,Applied,Applied
Noe Valley,Applied,None,Applied,Applied,Applied,None
North Beach,Applied,Applied,Applied,Applied,Applied,Applied
Oceanview/Merced/Ingleside,Applied,Applied,Applied,Applied,Applied,Applied
Outer Mission,Applied,Applied,None,Applied,Applied,Applied
Outer Richmond,Applied,Applied,None,None,Applied,Applied
Pacific Heights,Applied,Applied,Applied,Applied,Applied,None
Portola,None,Applied,None,Applied,Applied,Applied
Potrero Hill,None,Applied,None,Applied,None,Applied
Presidio,Applied,None,None,None,None,None
Presidio Heights,Applied,Applied,None,None,None,Applied
Russian Hill,Applied,Applied,Applied,None,Applied,Applied
Seacliff,Applied,Applied,None,None,None,None
South of Market,None,Applied,Applied,Applied,Applied,Applied
Sunset/Parkside,Applied,Applied,None,None,Applied,Applied
Tenderloin,None,Applied,Applied,Applied,Applied,Applied
Treasure Island,None,Applied,None,None,None,None
Twin Peaks,Applied,None,None,None,None,None
Visitacion Valley,None,Applied,None,Applied,Applied,Applied
West of Twin Peaks,Applied,Applied,Applied,Applied,Applied,Applied
Western Addition,Applied,Applied,Applied,Applied,Applied,Applied
