Historic Context Statement,Neighborhood,HCS_URL
Japantown Cultural Heritage and Economic Sustainability Strategy,Western Addition,https://default.sfplanning.org/plans-and-programs/in-your-neighborhood/japantown/JCHESS_FinalDraft_07-10-13.pdf
Japantown Cultural Heritage and Economic Sustainability Strategy,Japantown,https://default.sfplanning.org/plans-and-programs/in-your-neighborhood/japantown/JCHESS_FinalDraft_07-10-13.pdf
Japantown Cultural Heritage and Economic Sustainability Strategy,Pacific Heights,https://default.sfplanning.org/plans-and-programs/in-your-neighborhood/japantown/JCHESS_FinalDraft_07-10-13.pdf
Filipino Heritage Addendum to South of Market Historic Context Statement,Financial District,https://default.sfplanning.org/Preservation/central_soma_hrs/SOMA_Filipino_Heritage_HCS_Final_Report-031313.pdf
Filipino Heritage Addendum to South of Market Historic Context Statement,South of Market,https://default.sfplanning.org/Preservation/central_soma_hrs/SOMA_Filipino_Heritage_HCS_Final_Report-031313.pdf
Citywide Historic Context Statement for LBGTQ History in San Francisco,Mission,https://sfplanning.org/project/lgbtq-historic-context-statement
Citywide Historic Context Statement for LBGTQ History in San Francisco,South of Market,https://sfplanning.org/project/lgbtq-historic-context-statement
Mission Dolores Neighborhood Historic Context Statement & Survey,Castro/Upper Market,https://citypln-m-extnl.sfgov.org/SharedLinks.aspx?accesskey=e312738442fad29bcb74b96538b857ca1a6e1bedd359bbfc0de2d4a255a1b7ae&VaultGUID=A4A7DACD-B0DC-4322-BD29-F6F07103C6E0
"Corbett Heights, San Francisco (Western Part of Eureka Valley) Historic Context Statement",Castro/Upper Market,https://sfplanning.org/project/corbett-heights-historic-context-statement
Eureka Valley Historic Context Statement,Castro/Upper Market,https://sfplanning.org/project/eureka-valley-historic-context-statement
Central SOMA Historic Context Statement,South of Market,https://sfplanning.org/project/central-soma-historic-resources-survey
"Historic Context Statement of the Oceanside: A Neighborhood of the Sunset District, San Francisco",Sunset/Parkside,https://citypln-m-extnl.sfgov.org/SharedLinks.aspx?accesskey=b36ba92f20d231a0ee387f5dd551d1f2837730f658bd0a0888d5eb7b6842e9c8&VaultGUID=A4A7DACD-B0DC-4322-BD29-F6F07103C6E0
Transit Center District Survey,South of Market,https://sfplanning.s3.amazonaws.com/archives/documents/4039-Final%20Transit%20Center.pdf
Showplace Square / Northeast Mission Survey,Potrero Hill,https://sfplanning.org/showplace-squarenortheast-mission-historic-resource-survey
Showplace Square / Northeast Mission Survey,Mission,https://sfplanning.org/showplace-squarenortheast-mission-historic-resource-survey
South of Market Area Historic Context Statement,South of Market,https://sfplanning.s3.amazonaws.com/archives/documents/372-SOMA_Historic_Context_Statement_06-30-2009.pdf
Bayview Hunters Point Area B Survey Historic Context Statement,Bayview Hunters Point,https://citypln-m-extnl.sfgov.org/SharedLinks.aspx?accesskey=ac08dae97dcd84d253ea28306216a7d33560d33dce4338f87486217ff67a0f4a&VaultGUID=A4A7DACD-B0DC-4322-BD29-F6F07103C6E0
India Basin Survey and Context Statement,Bayview Hunters Point,https://sfplanning.s3.amazonaws.com/archives/documents/4049-Final_India%20Basin_05.01.08.pdf
"San Francisco Parkside District: A Historic Context Statement, 1905-1957 ",Sunset/Parkside,https://sfplanning.s3.amazonaws.com/archives/documents/4976-parkside-statement%20march%202008.pdf
City Within A City: Historic Context Statement for San Francisco Mission District,Mission,https://sfplanning.s3.amazonaws.com/archives/documents/5288-Mission%20District%20Context%20Statement%20-%20City%20within%20a%20City.pdf
Market Octavia Plan Area Historic Context Statement,Mission,https://sfplanning.s3.amazonaws.com/archives/documents/4688-M%26O_Context-LPAB121907.pdf
Market Octavia Plan Area Historic Context Statement,Castro/Upper Market,https://sfplanning.s3.amazonaws.com/archives/documents/4688-M%26O_Context-LPAB121907.pdf
Market Octavia Plan Area Historic Context Statement,South of Market,https://sfplanning.s3.amazonaws.com/archives/documents/4688-M%26O_Context-LPAB121907.pdf
Market Octavia Plan Area Historic Context Statement,Hayes Valley,https://sfplanning.s3.amazonaws.com/archives/documents/4688-M%26O_Context-LPAB121907.pdf
Market Octavia Plan Area Historic Context Statement,Tenderloin,https://sfplanning.s3.amazonaws.com/archives/documents/4688-M%26O_Context-LPAB121907.pdf
Inner Mission North Historic Context Statement,Mission,https://citypln-m-extnl.sfgov.org/SharedLinks.aspx?accesskey=ef5726f8f01317048294fa4befc3151c63c7d0f43ec4a26cbf5c21877a313274&VaultGUID=A4A7DACD-B0DC-4322-BD29-F6F07103C6E0
Central Waterfront Survey and Context Statement,Bayview Hunters Point,https://sfplanning.s3.amazonaws.com/archives/documents/780-Central_Waterfront_Context.pdf
Central Waterfront Survey and Context Statement,Potrero Hill,https://sfplanning.s3.amazonaws.com/archives/documents/780-Central_Waterfront_Context.pdf
